,establishment_id,Preds,establishment_name,latitude_x,longitude_x,label
197,10439706,0,azumi teppanyaki and sushi,43.779194,-79.13833000000002,Pass
198,10493006,1,wildfire,43.648711999999996,-79.37698,Infraction
199,10453222,0,fast fresh foods,43.647521999999995,-79.38424,Pass
200,10592880,1,eat my martini,43.655132,-79.41603,Infraction
201,10391029,0,sido shawarma,43.6870910882,-79.5979476392,Pass
202,10247455,1,matagali restaurant,43.6570017852,-79.3849075526,Infraction
203,10600981,1,indian crown,43.7604823583,-79.4110316431,Infraction
204,10310777,0,"maple leaf house, grill and lounge",43.6020464129,-79.4985328696,Pass
205,10432103,0,walmart,43.7423681174,-79.2242526201,Pass
206,10572224,1,roywoods,43.639563,-79.39784300000002,Infraction
207,10592741,1,kung fu tea,43.652071531800004,-79.39811812939999,Infraction
208,10296062,0,freshii,43.6706978646,-79.3901663635,Pass
209,9002052,0,burger king,43.7510251695,-79.2655392703,Pass
210,10626687,1,antioch foods,43.754293843599996,-79.4685412141,Infraction
211,9414011,0,nova era,43.6700105326,-79.4377549788,Pass
212,10270308,1,daddyo's pasta & salads,43.664615999999995,-79.40262,Infraction
213,9012786,1,rashnaa restaurant,43.668293,-79.36881,Infraction
214,10615709,0,injapan,43.639732,-79.421295,Pass
215,10200453,1,donut delight,43.7173625425,-79.52225955,Infraction
216,10556607,1,sweet lulu,43.650387,-79.38125,Infraction
217,10478091,0,fat bastard burrito co.,43.62234,-79.52199999999998,Pass
218,9015988,1,the red tomato,43.646263,-79.39083000000002,Infraction
219,10502441,1,almond butterfly,43.662807,-79.40334,Infraction
220,9012888,0,remington's men of steel,43.6586895042,-79.3815467124,Pass
221,10472818,0,millie creperie,43.654976,-79.399956,Pass
222,10540054,0,sushi bay,43.6967344933,-79.3293856785,Pass
223,10581258,0,the ten spot,43.7073844233,-79.3755325871,Pass
224,10349685,0,starbucks coffee,43.643153999999996,-79.381454,Pass
225,10622757,1,the office pub on king st.,43.64934,-79.37697,Infraction
226,10214840,1,fortune seafood restaurant,43.8140315803,-79.2915177228,Infraction
227,10321715,1,swiss chalet,43.64709000000001,-79.38032,Infraction
228,10420207,1,fahrenheit coffee,43.65248,-79.372856,Infraction
229,10458178,1,fv foods,43.7455978751,-79.2926134244,Infraction
230,10510166,1,pig out bbq,43.663204,-79.40226,Infraction
231,10637447,0,greenfield grocery,43.65341,-79.45181,Pass
232,9017624,1,wolfie's,43.7549682,-79.4424644,Infraction
233,10353612,1,ga bin korean restaurant,43.8218766876,-79.29921258569999,Infraction
234,10424363,0,blue sky bakery,43.752436986400006,-79.2543496518,Pass
235,10397721,0,prairie girl bakery,43.64945,-79.37709,Pass
236,9008553,1,la vecchia restaurant,43.71007,-79.39879599999998,Infraction
237,9018543,1,longos,43.7536411183,-79.3578541522,Infraction
238,10536261,1,la tortilleria,43.6329571854,-79.5310882359,Infraction
239,10509111,1,mare pizzeria,43.6547,-79.40093,Infraction
240,10230836,1,dolce gelato,43.655117,-79.41756,Infraction
241,9004174,0,di liso's fine meats,43.649075,-79.37213,Pass
242,10584636,1,popeye's,43.6608105634,-79.3826622621,Infraction
243,10578559,1,desta market,43.6796088879,-79.3404701447,Infraction
244,10514707,1,sofra forest hill,43.6890597581,-79.4125909938,Infraction
245,10630947,1,sofra nazar,43.6782059545,-79.44333257859999,Infraction
246,9029100,1,ed's real scoop,43.672784836800005,-79.2880322518,Infraction
247,10609154,0,the alley,43.8047243552,-79.2886016521,Pass
